This file was created using the 202206 Bloomberg database.

Missing data are indicated by -99.99.



,WML
19901101    ,1.33
19901102   ,-0.17
19901105   ,-0.56
19901106   ,-0.48
19901107    ,0.86
19901108    ,0.91
19901109    ,0.37
19901112    ,0.00
19901113   ,-1.07
19901114    ,0.45
19901115    ,1.40
19901116    ,0.68
19901119   ,-0.83
19901120   ,-0.03
19901121   ,-0.34
19901122   ,-1.45
19901123    ,0.00
19901126   ,-1.63
19901127   ,-0.22
19901128   ,-0.07
19901129    ,0.07
19901130   ,-0.26
19901203   ,-0.92
19901204   ,-0.36
19901205   ,-0.87
19901206   ,-1.00
19901207   ,-1.20
19901210   ,-0.61
19901211   ,-0.63
19901212   ,-0.85
19901213   ,-1.00
19901214    ,0.29
19901217    ,0.52
19901218   ,-0.20
19901219   ,-0.53
19901220    ,0.21
19901221    ,0.56
19901224    ,0.00
19901225    ,0.22
19901226   ,-0.58
19901227   ,-0.12
19901228   ,-0.15
19901231    ,0.00
19910101    ,0.00
19910102    ,0.00
19910103    ,0.00
19910104   ,-0.17
19910107    ,0.20
19910108    ,0.00
19910109   ,-0.10
19910110    ,0.07
19910111   ,-0.14
19910114   ,-0.26
19910115   ,-0.01
19910116    ,0.57
19910117   ,-0.18
19910118   ,-0.06
19910121    ,0.20
19910122    ,0.26
19910123    ,0.49
19910124    ,0.05
19910125    ,0.28
19910128   ,-0.26
19910129    ,0.20
19910130   ,-0.16
19910131    ,0.11
19910201    ,0.21
19910204   ,-0.50
19910205   ,-1.22
19910206   ,-1.43
19910207   ,-1.25
19910208   ,-1.73
19910211    ,0.00
19910212   ,-1.19
19910213   ,-1.68
19910214   ,-1.81
19910215    ,0.34
19910218   ,-1.65
19910219   ,-1.12
19910220    ,0.14
19910221    ,0.10
19910222   ,-0.05
19910225   ,-0.19
19910226   ,-0.57
19910227   ,-0.19
19910228   ,-0.14
19910301   ,-0.08
19910304    ,0.35
19910305    ,0.73
19910306    ,0.40
19910307   ,-0.18
19910308   ,-0.11
19910311   ,-0.78
19910312    ,0.07
19910313   ,-0.18
19910314    ,0.33
19910315    ,0.38
19910318    ,0.29
19910319   ,-0.35
19910320    ,0.62
19910321    ,0.00
19910322    ,0.15
19910325   ,-0.03
19910326    ,0.52
19910327    ,0.01
19910328    ,0.31
19910329   ,-0.41
19910401    ,0.38
19910402    ,0.26
19910403    ,0.21
19910404   ,-0.29
19910405    ,0.21
19910408   ,-0.26
19910409    ,0.30
19910410   ,-0.03
19910411    ,0.03
19910412   ,-0.12
19910415   ,-0.03
19910416    ,0.05
19910417    ,0.03
19910418   ,-0.15
19910419   ,-0.01
19910422    ,0.26
19910423    ,0.27
19910424   ,-0.01
19910425   ,-0.11
19910426    ,0.03
19910429    ,0.00
19910430    ,0.24
19910501   ,-0.14
19910502    ,0.41
19910503    ,0.00
19910506    ,0.00
19910507    ,0.62
19910508   ,-0.11
19910509    ,0.22
19910510   ,-0.12
19910513    ,0.06
19910514    ,0.09
19910515   ,-0.33
19910516    ,0.14
19910517   ,-0.11
19910520    ,0.00
19910521    ,0.66
19910522   ,-0.29
19910523   ,-0.18
19910524    ,0.18
19910527   ,-0.20
19910528    ,0.02
19910529    ,0.00
19910530    ,0.72
19910531    ,0.05
19910603   ,-0.34
19910604   ,-0.08
19910605    ,0.36
19910606   ,-0.23
19910607    ,0.67
19910610    ,0.07
19910611    ,0.15
19910612    ,0.32
19910613   ,-0.03
19910614    ,0.02
19910617   ,-0.28
19910618    ,0.27
19910619    ,0.36
19910620    ,0.10
19910621    ,0.04
19910624    ,0.28
19910625   ,-0.01
19910626   ,-0.23
19910627   ,-0.26
19910628   ,-0.06
19910701   ,-0.01
19910702    ,0.05
19910703   ,-0.24
19910704   ,-0.25
19910705    ,0.21
19910708    ,0.04
19910709   ,-0.15
19910710   ,-0.27
19910711    ,0.79
19910712    ,0.40
19910715   ,-0.03
19910716   ,-0.27
19910717   ,-0.11
19910718    ,0.28
19910719   ,-0.11
19910722    ,0.11
19910723    ,0.32
19910724    ,0.39
19910725   ,-0.47
19910726    ,0.03
19910729   ,-0.11
19910730   ,-0.07
19910731    ,0.16
19910801    ,0.01
19910802    ,0.01
19910805    ,0.23
19910806   ,-0.01
19910807    ,0.79
19910808   ,-0.01
19910809    ,0.34
19910812   ,-0.04
19910813    ,0.02
19910814    ,0.55
19910815    ,0.09
19910816    ,0.62
19910819    ,0.61
19910820    ,0.32
19910821   ,-0.55
19910822   ,-0.36
19910823   ,-0.24
19910826   ,-0.11
19910827    ,0.39
19910828    ,0.38
19910829   ,-0.06
19910830    ,0.07
19910902   ,-0.77
19910903   ,-0.40
19910904   ,-0.41
19910905   ,-0.41
19910906   ,-0.34
19910909   ,-0.40
19910910    ,0.12
19910911    ,0.11
19910912   ,-0.28
19910913   ,-0.22
19910916    ,0.00
19910917   ,-0.82
19910918   ,-0.47
19910919    ,0.23
19910920    ,0.15
19910923    ,0.00
19910924   ,-0.42
19910925    ,0.40
19910926    ,0.16
19910927   ,-0.12
19910930    ,0.57
19911001   ,-0.73
19911002   ,-0.08
19911003    ,0.39
19911004    ,0.52
19911007    ,0.05
19911008    ,0.46
19911009    ,0.66
19911010    ,0.00
19911011    ,0.44
19911014    ,0.09
19911015    ,0.46
19911016   ,-0.24
19911017    ,0.03
19911018    ,0.00
19911021   ,-0.17
19911022   ,-0.23
19911023   ,-0.79
19911024   ,-0.03
19911025   ,-0.11
19911028   ,-0.35
19911029    ,0.22
19911030   ,-0.17
19911031    ,0.30
19911101    ,0.15
19911104    ,0.00
19911105   ,-0.36
19911106   ,-0.06
19911107   ,-0.27
19911108   ,-0.01
19911111   ,-0.05
19911112    ,0.26
19911113    ,0.06
19911114    ,0.46
19911115    ,0.47
19911118   ,-0.12
19911119   ,-0.22
19911120    ,0.18
19911121    ,0.34
19911122    ,0.07
19911125   ,-0.66
19911126    ,0.14
19911127   ,-0.02
19911128   ,-0.09
19911129    ,0.39
19911202   ,-0.69
19911203    ,0.05
19911204   ,-0.35
19911205   ,-0.04
19911206    ,0.17
19911209   ,-0.19
19911210   ,-0.19
19911211   ,-0.18
19911212   ,-0.05
19911213    ,0.69
19911216    ,0.18
19911217   ,-0.08
19911218   ,-0.09
19911219   ,-0.40
19911220   ,-0.10
19911223    ,0.00
19911224   ,-0.30
19911225    ,0.18
19911226    ,0.19
19911227    ,0.07
19911230    ,0.58
19911231    ,0.00
19920101    ,0.00
19920102    ,0.00
19920103    ,0.00
19920106   ,-0.25
19920107    ,0.40
19920108    ,0.14
19920109    ,0.00
19920110    ,0.51
19920113   ,-0.01
19920114   ,-0.03
